1 1 0 0
2 0 0 0
3 0 0 0
4 0 0 0
5 0 0 0
6 0 2.6 2.2
7 0 40.4 30
8 0 75 54
9 0 30 22
10 0 28 19
11 0 145 104
12 0 145 104
13 0 8 5.5
14 0 8 5.5
15 0 0 0
16 0 45.5 30
17 0 60 35
18 0 60 35
19 0 0 0
20 0 1 0.6
21 0 114 81
22 0 5.3 3.5
23 0 0 0
24 0 28 20
25 0 0 0
26 0 14 10
27 0 14 10
28 0 26 18.6
29 0 26 18.6
30 0 0 0
31 0 0 0
32 0 0 0
33 0 14 10
34 0 19.5 14
35 0 6 4
36 0 26 18.55
37 0 26 18.55
38 0 0 0
39 0 24 17
40 0 24 17
41 0 1.2 1
42 0 0 0
43 0 6 4.3
44 0 0 0
45 0 39.22 26.3
46 0 39.22 26.3
47 0 0 0
48 0 79 56.4
49 0 384.7 274.5
50 0 384.7 274.5
51 0 40.5 28.3
52 0 3.6 2.7
53 0 4.35 3.5
54 0 26.4 19
55 0 24 17.2
56 0 0 0
57 0 0 0
58 0 0 0
59 0 100 72
60 0 0 0
61 0 1244 888
62 0 32 23
63 0 0 0
64 0 227 162
65 0 59 42
66 0 18 13
67 0 18 13
68 0 28 20
69 0 28 20
