1 2 0.09220 0.04700
2 3 0.49300 0.25110
3 4 0.36600 0.18640
4 5 0.38110 0.19410
5 6 0.81900 0.70700
6 7 0.01872 0.61880
7 8 0.71140 0.23510
8 9 1.03000 0.74000
9 10 1.04400 0.74000
10 11 0.19660 0.06500
11 12 0.37440 0.12380
12 13 1.46800 1.15500
13 14 0.54160 0.71290
14 15 0.59100 0.52600
15 16 0.74630 .054500
16 17 1.28900 1.72100
17 18 0.73200 0.57400
2 19 0.16400 0.15650
19 20 1.50420 1.35540
20 21 0.40950 0.47840
21 22 0.70890 0.93730
3 23 .045120 0.30830
23 24 0.89800 0.70910
24 25 0.89600 0.70110
6 26 0.20300 0.10340
26 27 0.20420 0.14470
27 28 1.05900 0.93370
28 29 0.80420 0.70060
29 30 0.50750 0.25850
30 31 0.97440 0.96300
31 32 0.31050 0.36190
32 33 0.34100 0.53020
